time,x,y,z
26,-0.26735,9.82509,1.04571
76,0.03404,9.77944,1.15576
126,0.15335,9.72123,1.27526
177,-0.18125,9.81938,1.00755
226,-0.00909,9.77511,1.17485
277,0.06285,9.77470,1.28476
326,-0.05240,9.75162,1.17004
377,0.04748,9.67423,1.18921
426,0.32820,9.45679,1.34224
477,-0.28170,9.81126,1.19379
526,-0.23041,9.67651,1.03140
576,0.08486,9.57342,1.17490
627,0.02385,9.71261,1.16053
676,0.04861,9.78916,1.27998
727,-0.06162,9.77597,1.31813
776,0.06692,9.69345,1.29909
827,-0.10229,9.53220,1.16523
876,-0.11504,9.70922,1.17000
931,0.11603,9.79881,1.56664
977,0.00564,9.82727,1.05543
1026,0.05725,9.65127,1.60482
1077,-0.03808,9.74202,1.20827
1126,-0.00962,9.70372,1.29427
1177,-0.12438,9.73326,1.19388
1227,0.07080,9.57901,1.43763
1276,-0.07609,9.75717,1.38500
1327,-0.00461,9.72757,1.29427
1376,-0.05276,9.68532,1.41367
1427,-0.06236,9.69939,1.26557
1476,0.02906,9.72763,1.44238
1527,0.17691,9.68267,1.23705
1576,0.01377,9.64138,1.29906
1627,0.06190,9.68357,1.15100
1676,0.06683,9.68388,1.29431
1726,0.32449,9.55295,1.54287
1777,0.07711,9.78365,1.08413
1826,0.06619,9.66824,0.77361
1877,-0.07510,9.84373,1.58563
1926,-0.07127,9.77122,1.27990
1979,0.06675,9.67901,1.25610
2027,-0.08667,9.65198,1.32766
2076,-0.11125,9.62726,0.90726
2126,-0.20160,9.66242,1.23683
2177,-0.09623,9.67546,1.13180
2226,-0.19143,9.72452,1.27028
2277,-0.23866,9.82004,1.05050
2326,-0.10814,9.90130,1.54740
2377,0.00693,9.88655,1.82454
2427,0.10181,9.83203,1.41376
2477,0.15733,9.62106,1.37558
2527,-0.00561,9.64098,1.06975
2576,-0.00083,9.61757,1.28950
2627,0.01835,9.64079,1.08887
2677,0.08518,9.61627,1.09847
2727,0.10515,9.71157,1.05071
2777,0.16313,9.76837,1.04119
2827,-0.05739,9.72313,1.22258
2877,0.02873,9.73146,1.06021
2927,0.07597,9.64532,1.20355
2983,0.12349,9.63460,0.92173
3027,0.11894,9.61188,1.37555
3077,0.28966,9.48461,0.84062
3126,0.33276,9.49821,0.71167
3176,0.38195,9.69255,0.23399
3227,-0.00955,9.76929,0.74490
3277,-0.16658,9.90409,0.51551
3326,0.15970,9.99135,0.34373
3377,-0.22415,9.82964,1.10305
3427,-0.42157,9.70733,1.14115
3476,-0.56338,9.47706,0.27164
3526,-0.70594,9.52323,0.98334
3577,-0.71228,9.45398,0.02792
3627,-1.02184,9.54531,0.94971
3676,-1.13586,9.62342,1.15984
3727,-1.07380,9.67840,0.44331
3777,-0.89559,9.78671,0.48164
3826,-0.82294,9.91422,0.13295
3877,-0.24812,9.89050,0.50591
3927,-0.52323,10.09593,1.30830
3977,-0.51412,10.56918,1.32741
4029,-0.43970,10.85060,1.36090
4077,-0.51992,10.52465,0.70161
4126,-0.79788,9.90746,1.34635
4177,-0.83367,9.55641,2.30174
4227,-0.18896,9.38701,2.03461
4276,0.87069,9.15342,0.63077
4327,0.26277,9.30460,-0.51609
4376,0.01001,9.21155,1.45192
4427,0.24124,9.36228,1.44250
4477,0.47547,9.35432,1.07003
4527,0.35674,9.50743,0.66391
4577,-0.00940,9.78834,0.71146
4627,-0.29342,10.15435,0.69697
4676,0.08900,10.51141,1.57618
4726,0.23936,10.86047,0.27213
4777,-0.42577,10.40756,0.11886
4827,-0.90783,9.99305,0.73959
4876,-0.19397,9.47994,0.93587
4927,-0.52969,9.33704,1.76689
4976,-0.72855,9.22047,0.26676
5032,-0.83740,9.29948,0.85906
5077,-1.04727,9.29423,1.77613
5127,-0.79137,9.13555,0.47692
5176,-0.58852,9.30612,0.64424
5227,-0.86736,9.74783,0.33356
5277,-1.00115,9.76384,0.48635
5326,-0.70437,9.75139,0.47220
5377,-0.76093,9.88031,0.18554
5427,-0.77898,10.53526,0.12343
5477,0.48532,10.57485,-0.21499
5526,0.00064,10.33865,0.96466
5577,-0.86674,10.24256,1.26032
5627,-0.16001,9.64886,-0.21061
5676,-0.07441,9.43636,1.17002
5727,-0.33924,9.25771,1.35617
5776,0.14064,8.91200,0.68288
5827,0.02357,9.19538,0.76403
5877,0.07107,9.20795,0.23857
5927,0.00146,9.43375,0.41529
5977,-0.29212,9.93070,-0.80782
6032,-0.43951,10.37190,1.09815
6077,-0.05661,11.41952,0.93119
6127,-0.70570,11.06878,1.55660
6176,-1.15732,10.54346,0.03244
6226,-1.28924,9.68993,0.40019
6277,-1.19467,9.02465,0.45279
6326,-0.18191,8.73794,0.56804
6376,-0.15659,8.76919,1.70500
6426,-0.87259,9.05273,1.45617
6477,-0.99541,8.84521,0.19972
6526,-0.88251,9.15472,0.14247
6577,-0.45628,9.66262,0.32903
6626,-0.72265,10.34035,0.77792
6677,-0.71086,11.06789,1.18398
6726,0.54822,11.08774,0.57804
6777,-0.16458,10.62182,0.77825
6826,-0.63614,10.18620,2.55504
6877,-0.52836,9.59729,0.69204
6926,-0.60180,8.75041,2.03436
6977,-0.37006,8.62412,0.19053
7029,0.51717,8.73579,0.46335
7077,-0.87328,9.46477,1.79056
7126,-0.44816,9.34592,1.78126
7177,-0.39721,9.35510,-0.07699
7226,-0.50539,10.07378,0.14747
7277,-0.21003,11.40652,0.87377
7326,-1.05237,11.36899,1.74747
7377,-0.52823,10.55130,1.75256
7427,-0.29320,10.01013,2.26862
7477,-0.15620,9.29138,2.13016
7527,-0.54617,8.71724,0.43884
7577,-0.49678,8.71121,2.04397
7627,-0.46631,8.92551,1.82902
7677,-0.83638,8.84157,1.25077
7726,-0.72012,9.04000,0.75402
7777,-0.55512,9.30552,0.51049
7827,-0.72879,9.67102,0.71580
7877,-0.64189,10.14178,1.95790
7927,-0.89786,10.80748,3.37177
7977,-0.06949,10.96291,1.80060
8031,0.22355,10.63277,0.90268
8077,-0.43173,10.21315,0.72076
8127,-0.85014,10.08650,0.08038
8177,-0.03320,9.30978,0.40093
8226,-0.32869,8.76222,2.06318
8276,-0.15121,8.39423,0.87379
8327,0.28729,8.16532,0.86927
8376,-0.17949,8.56380,-0.24884
8427,-0.67565,9.26258,0.08526
8477,-1.03322,9.84256,1.23633
8527,-0.41735,10.76230,0.52969
8577,-0.63237,11.21199,1.74772
8627,-1.05193,11.45418,1.39875
8677,-0.92480,10.84691,-0.08208
8727,-0.80682,9.83440,2.67437
8777,0.18983,9.24920,3.79756
8827,-0.61075,9.36206,1.87670
8877,-1.03626,8.95404,1.48473
8927,-0.75716,8.58308,1.41323
8976,-1.04460,8.60419,1.10255
9032,-1.28138,8.91209,0.96866
9077,-0.91725,9.41163,1.40359
9126,-0.77577,9.69243,1.44667
9177,-0.83665,10.44188,0.77785
9227,-0.74551,11.36239,2.19192
9277,0.55237,10.66298,-1.05572
9326,-0.47043,10.12379,1.15545
9376,0.09548,9.59932,1.96789
9427,0.61217,9.10002,1.18953
9477,-0.30611,9.12097,2.21605
9526,-0.68971,9.20275,0.94512
9576,-0.21285,9.45747,1.40878
9627,0.47269,9.05308,1.00314
9677,-0.01431,9.27157,0.47737
9727,-0.54880,9.50082,0.24775
9777,-0.81705,10.06176,-0.14890
9827,-0.03610,11.05102,0.81654
9877,-0.46515,11.32624,0.25736
9927,-1.33641,10.15736,1.67563
9976,-0.43138,9.57605,2.10611
10031,-0.44009,9.26733,0.96438
10076,-0.68167,8.99329,1.33207
10127,-0.43294,8.88279,2.06789
10177,-0.72573,8.92122,0.99764
10226,-0.63413,9.03867,0.52476
10277,-0.87308,9.07953,0.65360
10327,-0.99469,9.43831,0.28092
10377,-1.06469,10.15164,0.43375
10426,-0.94411,11.26983,0.71568
10477,0.36135,11.18267,-0.44915
10527,-0.88281,10.57281,1.32718
10577,-0.01828,10.20398,2.44553
10626,0.43912,10.06301,1.35662
10676,0.44984,9.59595,1.97287
10727,-0.62118,8.82946,1.03592
10777,-0.71535,8.59811,-0.07719
10827,-0.26898,8.64782,0.49154
10876,-0.26606,8.93543,0.81161
10927,-0.39834,9.74269,0.04243
10977,-0.60313,10.35277,0.42925
11027,-0.28590,10.97669,0.71607
11080,-0.79115,10.80253,-0.13933
11127,-1.20441,10.01071,0.88749
11176,-1.48438,9.62942,2.18191
11227,-1.27189,9.51239,0.16133
11277,-0.81509,9.03827,1.58517
11326,-0.58268,8.75485,1.92926
11377,-1.13924,8.73876,1.00217
11426,-1.42220,8.80576,-0.05851
11477,-1.37786,9.39975,0.59598
11526,-1.01181,9.71453,-0.20635
11577,-0.70522,10.17706,0.49129
11626,-0.99072,10.81300,1.36055
11677,-1.05186,11.56649,0.38599
11727,0.19338,11.13199,-0.34894
11776,-0.00423,10.28248,1.37069
11827,0.00641,9.73582,2.65572
11876,0.09666,9.35670,0.50609
11926,-0.29917,8.94613,1.11732
11977,-0.28254,8.66868,1.11255
12026,-0.63694,8.80276,-0.16314
12080,-0.60621,9.01302,-0.07713
12126,-0.21955,9.36397,0.28616
12177,-0.17742,9.88234,-0.62146
12226,-0.35571,10.69012,0.55360
12276,-0.77261,11.19588,0.47215
12326,-1.07700,10.78288,-3.36881
12377,-1.15583,9.98864,1.79038
12427,0.04639,9.49401,1.69555
12477,0.33601,9.46631,-0.62594
12527,-0.14161,8.89674,1.08875
12577,-0.74290,8.80221,-0.79378
12626,-1.34599,8.79000,-0.34987
12676,-0.59225,8.95113,0.07574
12727,-0.50808,9.36369,-0.94173
12777,-0.71497,10.26547,-0.52624
12827,-0.26571,11.16127,0.02817
12877,0.08541,11.47011,-1.29487
12927,0.36253,10.88866,-1.43324
12976,0.37579,9.86941,2.05403
13026,0.05769,9.38811,-0.47324
13077,-0.10268,9.10345,-0.22015
13132,-0.28099,8.87811,0.74949
13176,-0.14304,8.89783,-0.39215
13227,-0.14280,8.95914,-0.72654
13276,0.33899,9.22817,-0.25810
13327,0.19140,9.84636,-0.22474
13377,-0.54402,10.59460,-0.16308
13427,-0.25068,11.27959,-0.39698
13477,-0.98302,10.97170,-2.07895
13527,-1.16996,10.21827,-0.12524
13577,-0.81216,9.66026,3.70619
13626,-0.42898,9.49529,0.37202
13678,-0.12552,9.10179,0.94545
13727,-0.02878,8.75024,0.28626
13776,-1.36229,9.09162,-0.24001
13826,-0.83687,8.91043,0.05648
13877,-0.38889,9.17438,0.27650
13927,-0.68246,9.50319,0.63938
13977,-0.70841,10.41936,-0.13929
14027,-0.83985,11.26144,-0.36389
14076,0.50911,11.17020,-1.07965
14130,0.42607,10.57562,-2.11633
14177,-0.80414,10.24755,1.52307
14226,0.17093,9.72182,-0.41585
14277,0.44301,9.03231,0.18622
14326,-0.01311,8.84214,0.76398
14376,-0.21057,8.90191,-0.94155
14427,-0.23740,9.00504,0.05206
14477,0.42983,9.17557,0.08112
14526,-0.04913,9.72444,-0.20578
14577,-0.23117,10.29394,-0.67405
14627,0.06673,10.86153,-0.04329
14676,-0.22970,11.08043,-1.59124
14726,-1.15631,10.70484,-0.49784
14776,-0.50103,9.76442,2.56465
14827,-0.20451,9.46363,0.02820
14877,-0.43666,9.16580,0.47710
14926,-0.24338,8.77323,0.99314
14976,-0.87897,9.00212,0.21887
15027,-1.10217,9.20044,0.29040
15077,-0.33689,9.11613,0.10454
15136,-0.44871,9.48004,-0.09138
15176,-0.54878,10.06414,-0.11532
15227,-0.77363,10.99248,1.29857
15277,0.52871,11.18517,-0.75958
15326,-1.06501,11.13723,0.71082
15377,-0.81864,10.36412,0.28102
15426,0.86934,9.56850,0.21514
15476,0.39515,8.93942,1.08428
15527,-0.40245,8.69738,0.63476
15577,-0.26626,8.55386,-0.80306
15627,-0.40587,8.94843,-0.31110
15676,0.17331,9.37474,0.33893
15726,0.08557,10.33938,-0.41112
15776,-0.08077,11.36788,1.14134
15827,-0.86572,11.16809,-1.48175
15877,-1.66303,10.70722,0.41428
15927,-0.71606,9.80965,2.61707
15976,-0.40705,9.39661,-0.78881
16026,-1.33377,9.42520,1.35077
16077,-0.42665,9.16212,0.95481
16133,-0.72039,9.07673,0.08521
16177,-0.61714,8.83222,0.19514
16227,-0.41088,8.84982,0.38157
16277,-0.79268,9.09494,-0.56452
16326,-0.60464,9.72502,-0.22045
16376,-0.78703,10.67469,0.32403
16426,-0.44994,11.42166,0.19048
16477,0.08587,10.94542,-0.85061
16526,-0.69120,10.59920,1.09320
16577,0.25249,10.01842,1.89153
16626,1.07986,9.44927,1.14202
16677,-0.08600,9.22125,1.06011
16726,-0.22647,8.58991,0.39601
16776,-0.16879,8.65529,-0.00523
16827,0.04216,9.11441,0.88344
16876,0.19256,9.34211,0.75455
16927,-0.26444,9.73163,-0.08649
16976,-0.42599,10.38369,0.05673
17027,0.57864,11.51019,3.24365
17076,-1.02393,11.15977,-1.59171
17131,-0.88482,10.59114,-0.95628
17176,-0.44069,10.16812,1.72392
17227,-0.34659,10.12097,0.42938
17276,-0.44762,9.56686,0.21435
17326,-0.36689,9.32615,1.76695
17377,-0.93796,9.36590,0.17107
17427,-0.71697,8.97516,-0.38772
17477,-0.75224,9.22605,0.40048
17527,-0.69205,9.53128,0.34319
17576,-0.95043,10.03681,0.78253
17627,-0.40155,9.76540,1.41821
17676,-0.43136,9.77699,0.20003
17726,-0.59830,9.95774,-0.80803
17776,-0.39158,9.96249,-0.02924
17827,-0.51311,9.73021,0.29075
17876,-0.29631,9.38307,-0.05307
17927,-0.45312,9.58379,-0.67896
17976,-0.09417,9.53317,-0.42557
18026,-0.03029,9.71416,-0.44941
18077,-0.04060,9.64701,-0.57840
18132,-0.28852,9.73152,-0.23460
18176,-0.38899,9.77008,-0.49262
18227,-0.28282,9.83652,-0.27759
18276,-0.39292,9.87506,-0.58338
18327,-0.00523,9.81483,-0.23920
18377,-0.04347,9.82937,-0.32044
18426,-0.12976,9.82530,-0.36826
18477,-0.15431,9.73993,-0.19153
18526,-0.30204,9.86926,-0.65499
